# Settings Pages Translations
# Store Setting
"This is the minimum order price or weight to apply this condition.","Este es el precio o peso mínimo del pedido para aplicar esta condición."
"This is the maximum order price or weight to apply this condition.","Este es el precio o peso máximo del pedido para aplicar esta condición."
"Min is required","El mínimo es obligatorio"
"Max is required","El máximo es obligatorio"
"Add condition","Agregar condición"
"Remove condition","Eliminar condición"
"Save","Guardar"
"Shipping method saved successfully","Método de envío guardado correctamente"
"Update API not found","API de actualización no encontrada"
"Method name updated successfully","Nombre del método actualizado correctamente"
"Edit name","Editar nombre"
"Min Price","Precio mínimo"
"Shipping Cost","Costo de envío"
"+ Add Line","+ Agregar línea"
"Min price is required","El precio mínimo es obligatorio"
"Min Weight","Peso mínimo"
"Min weight is required","El peso mínimo es obligatorio"
# Tax Setting
"Tax calculation configuration","Configuración de cálculo de impuestos"
"Configure the tax classes that will be available to your customers at checkout.","Configura las clases de impuestos que estarán disponibles para tus clientes en el checkout."
"Shipping tax class","Clase de impuesto de envío"
"Proportional allocation based on cart items","Asignación proporcional basada en los artículos del carrito"
"Higest tax rate based on cart items","Tasa de impuesto más alta basada en los artículos del carrito"
"This is the tax class applied to shipping costs.","Esta es la clase de impuesto aplicada a los costos de envío."
"Base calculation address","Dirección base de cálculo"
"Shipping address","Dirección de envío"
"Billing address","Dirección de facturación"
"Store address","Dirección de la tienda"
"This is the address used to calculate tax rates.","Esta es la dirección utilizada para calcular las tasas de impuestos."
"Tax classes","Clases de impuestos"
"Manage tax classes and tax rates for different regions.","Administra las clases de impuestos y tasas para diferentes regiones."
"Create new tax class","Crear nueva clase de impuesto"
"Create New Tax Class","Crear nueva clase de impuesto"
"Tax setting has been saved successfully!","¡La configuración de impuestos se ha guardado correctamente!"
"Tax class name","Nombre de la clase de impuesto"
"Enter tax class name","Ingresa el nombre de la clase de impuesto"
"Tax class name is required","El nombre de la clase de impuesto es obligatorio"
"Cancel","Cancelar"
"Name","Nombre"
"Rate","Tasa"
"Compound","Compuesto"
"Priority","Prioridad"
"+ Add Rate","+ Agregar tasa"
"Add Tax Rate","Agregar tasa de impuesto"
"Edit Tax Rate","Editar tasa de impuesto"
"Yes","Sí"
"No","No"
"Name is required","El nombre es obligatorio"
"Rate is required","La tasa es obligatoria"
"Country is required","El país es obligatorio"
"Provinces","Provincias"
"Provinces is required","Las provincias son obligatorias"
"Postcode","Código postal"
"Postcode is required","El código postal es obligatorio"
"Is compound","Es compuesto"
"Priority is required","La prioridad es obligatoria"
"Tax rate has been saved successfully!","¡La tasa de impuesto se ha guardado correctamente!"
# Setting Menu Items
"Store Setting","Configuración de la tienda"
"Configure the available payment methods","Configura los métodos de pago disponibles"
"Payment Setting","Configuración de pago"
"Shipping Setting","Configuración de envío"
"Where you ship, shipping methods and delivery fee","A dónde envías, métodos de envío y tarifa de entrega"
"Tax Setting","Configuración de impuestos"
"Configure tax classes and tax rates","Configura clases de impuestos y tasas"
"None","Ninguno"
# Payment Methods
"Stripe Payment","Pago con Stripe"
"Configure your Stripe payment gateway settings","Configura los ajustes de la pasarela de pago Stripe"
"Enable?","¿Habilitar?"
"Dislay Name","Nombre a mostrar"
"Display Name","Nombre a mostrar"
"Publishable Key","Clave pública"
"Secret Key","Clave secreta"
"Webhook Secret Key","Clave secreta del Webhook"
"Your webhook url should be: https://yourdomain.com/api/stripe/webhook","La URL de tu webhook debe ser: https://tudominio.com/api/stripe/webhook"
"Payment mode","Modo de pago"
"Authorize only","Solo autorizar"
"Capture","Capturar"
"Paypal Payment","Pago con PayPal"
"Configure your Paypal payment gateway settings","Configura los ajustes de la pasarela de pago PayPal"
"Client ID","ID de cliente"
"Client Secret","Secreto del cliente"
"Environment","Entorno"
"Sandbox","Sandbox"
"Live","Producción"
"Cash On Delivery Payment","Pago contra entrega"
"Configure your Cash On Delivery payment gateway settings","Configura los ajustes del pago contra entrega"
